time,nicv-value
1701,0.008245649166742725
1702,0.005033710167833315
1703,0.005156233636532093
1704,0.005393678188583515
1705,0.0054389954179794335
1706,0.005681948794689128
1707,0.006189351255789158
1708,0.005838947699421811
1709,0.0065044270256806765
1710,0.005570851586662088
1711,0.005372562941891237
1712,0.00547068689311401
1713,0.005825423005705231
1714,0.005573116336221871
1715,0.005505085072945725
1716,0.005434772858362035
1717,0.00599435773256088
1718,0.006386508243436748
1719,0.006154892878546095
1720,0.005686998224147204
1721,0.006020845678921556
1722,0.005428260396006686
1723,0.005883334959710184
1724,0.005032798463371332
1725,0.0060650916403609135
1726,0.005444873432922181
1727,0.006983697112241123
1728,0.005586346675472552
1729,0.006244415264365388
1730,0.0052731065001398085
1731,0.006580623443634441
1732,0.005130904827601256
1733,0.006745078080857116
1734,0.004996307913916089
1735,0.0070411132760193704
1736,0.005020609414859048
1737,0.005726776636263963
1738,0.004269061230499903
1739,0.004229707147771251
1740,0.004972778131199391
1741,0.005783676159370914
1742,0.005621139490809675
1743,0.005830827896132518
1744,0.005968978824258262
1745,0.005682035339213415
1746,0.0054529996833992496
1747,0.005175151619178277
1748,0.005158384622136414
1749,0.005758416392739384
1750,0.005910097022641191
1751,0.005446998778230131
1752,0.005274956849146433
1753,0.005562937073348117
1754,0.005337080910211905
1755,0.0050387263033778405
1756,0.004997084208580791
1757,0.0052188200753343255
1758,0.006044772440618719
1759,0.005339237029387862
1760,0.005810952006878905
1761,0.0053219326547738685
1762,0.005555905555426979
1763,0.006930135395875946
1764,0.005048799764926043
1765,0.006292015973777568
1766,0.005780166882924035
1767,0.005668741027184585
1768,0.004957483920964598
1769,0.005746305038420022
1770,0.005821170834065569
1771,0.005470100915146927
1772,0.005152180812114769
1773,0.006169963290715451
1774,0.005378649214372047
1775,0.005702063584205687
1776,0.0052894122851729584
1777,0.006084986856175645
1778,0.0055231683346854375
1779,0.006372778866134106
1780,0.005099800719007276
1781,0.005496431162985022
1782,0.005243331845132584
1783,0.005217427639964667
1784,0.00521596649711967
1785,0.0061058665735969735
1786,0.005463252089478342
1787,0.0060293320578157636
1788,0.005176565468295701
1789,0.005800782341744944
1790,0.005175704526117505
1791,0.005752290160069286
1792,0.0046638147614657234
1793,0.005883937714646089
1794,0.006834881323933396
1795,0.008387748672674717
1796,0.005752458769161564
1797,0.006512078362622423
1798,0.52834177288679
1799,0.7332401860343796
1800,0.3313635926577826
1801,0.49055840860688615
1802,0.6120576684835696
1803,0.6777137728283884
1804,0.39351134228390666
1805,0.5210122266932811
1806,0.7638450771218909
1807,0.8898716314025744
1808,0.5824598712104595
1809,0.73573335929047
1810,0.7971094258304078
1811,0.8981823577139703
1812,0.5617131433855718
1813,0.7235686206518381
1814,0.42898031800885655
1815,0.619739606750015
1816,0.16158316122658434
1817,0.2647292774845145
1818,0.1680666409239211
1819,0.27054761599505617
1820,0.02964688662909172
1821,0.05909092501971158
1822,0.012559306451547778
1823,0.028579556242251593
1824,0.009972126429526471
1825,0.0450466523495487
1826,0.013721559748026968
1827,0.04648256901278497
1828,0.01610095049932375
1829,0.07854203644959641
1830,0.012598979808169784
1831,0.07063816406960147
1832,0.014088299413847614
1833,0.04968613949506723
1834,0.17198444630120835
1835,0.21428002106117713
1836,0.071041472004147
1837,0.1648810085519833
1838,0.015517107311009987
1839,0.013224935002774383
1840,0.008913032835878727
1841,0.015628923887404205
1842,0.006127253188896015
1843,0.009292304449207272
1844,0.01027607848346056
1845,0.01822829658558707
1846,0.007393635602416895
1847,0.01034621981349325
1848,0.010892764883664629
1849,0.017042751375012422
1850,0.007850377744315708
1851,0.011594469743357491
1852,0.011767623529858216
1853,0.019693782902506233
1854,0.016291360272864843
1855,0.03340841375672525
1856,0.01667263757697913
1857,0.043200382481117745
1858,0.022622001696333275
1859,0.06336530056615593
1860,0.017400210994346684
1861,0.08032571521661311
1862,0.02060300833190381
1863,0.07549921391022776
1864,0.021201689241830128
1865,0.07853855153838668
1866,0.019718758902037527
1867,0.054893758992747135
1868,0.01832799818097767
1869,0.0713119918477084
1870,0.018580173811158476
1871,0.08747395971063726
1872,0.017627281572859435
1873,0.053470041582938756
1874,0.010550172308042713
1875,0.016119151095890384
1876,0.013593006893108512
1877,0.028663453001391326
1878,0.008584444937993924
1879,0.012702854702250136
1880,0.011577479507637503
1881,0.021821282160520424
1882,0.006650614231496278
1883,0.009337676308696698
1884,0.009018754317545322
1885,0.016059809246019786
1886,0.006751608657174144
1887,0.00790740482845019
1888,0.0076925136288031925
1889,0.011620833273623376
1890,0.006602438562485867
1891,0.007714507846990172
1892,0.007903422609000784
1893,0.01200934839277788
1894,0.012203820092597795
1895,0.019729241652298616
1896,0.011205718979011996
1897,0.023705111497557302
1898,0.013914210536497646
1899,0.03391200686027497
1900,0.011842661114724862
