time,nicv-value
1801,0.030478009428248538
1802,0.02868798089685385
1803,0.02885435011340755
1804,0.030033208950643268
1805,0.03136409370572604
1806,0.027031311132598903
1807,0.025022927510642296
1808,0.024855527560369267
1809,0.02706982575467766
1810,0.02828963266731076
1811,0.02742221088779367
1812,0.030924515892386453
1813,0.02894958834419038
1814,0.021904632338565155
1815,0.02207014617644207
1816,0.024926177747309073
1817,0.021323971313674417
1818,0.02724563298848148
1819,0.02816433910179571
1820,0.027714820800036885
1821,0.02611296943209361
1822,0.023658452230973636
1823,0.023344389727477773
1824,0.02272054779612752
1825,0.0247164051841055
1826,0.025684925055862572
1827,0.025034585393706687
1828,0.025678302773751414
1829,0.024515429772884387
1830,0.028178136805964312
1831,0.029298623279035037
1832,0.028345890468792333
1833,0.027288007107358615
1834,0.029266859642234022
1835,0.026297499178782498
1836,0.029254673413070136
1837,0.029556448822639064
1838,0.02739089746499297
1839,0.02744061868891032
1840,0.02672725515399686
1841,0.026720257528056856
1842,0.024553324739824592
1843,0.025415244700718057
1844,0.02544959076559762
1845,0.024242543861807762
1846,0.023134186852053193
1847,0.024658262679226103
1848,0.027075056033597115
1849,0.026628719799943575
1850,0.031165180084502562
1851,0.030693234757296874
1852,0.03049142655956204
1853,0.02777485489411622
1854,0.02849372528770407
1855,0.0275285629115238
1856,0.02671099215143496
1857,0.02654617191263742
1858,0.0285237128177811
1859,0.02777506587510234
1860,0.027652216449885934
1861,0.02768712769096083
1862,0.033159392032235224
1863,0.03362673005417519
1864,0.03532370143703508
1865,0.030548798610901706
1866,0.030266876282761083
1867,0.029110198081752654
1868,0.031092012446619625
1869,0.03282789701690601
1870,0.028343724513002443
1871,0.027921360117169253
1872,0.027195071805265942
1873,0.028545648465532463
1874,0.03086919991471737
1875,0.027973228735357073
1876,0.03012371954118023
1877,0.02879850738694885
1878,0.026811140467772374
1879,0.026643071014733854
1880,0.027427975968209253
1881,0.027066441457174947
1882,0.027105795561665397
1883,0.027622167379851303
1884,0.02888906196403966
1885,0.026637873480950272
1886,0.024308913153766456
1887,0.02482559937928972
1888,0.024152256847723343
1889,0.026025217552183896
1890,0.022914184323739886
1891,0.02290713576034495
1892,0.023266325538645386
1893,0.023694321773326397
1894,0.026475014630168284
1895,0.027815065806342135
1896,0.02850388319726639
1897,0.02689696122388828
1898,0.02880889228036401
1899,0.028650004081435993
1900,0.026778611760818263
1901,0.025414398068792345
1902,0.02451500348943454
1903,0.0244612496036231
1904,0.022623685099216934
1905,0.02635202066851508
1906,0.025083224483261616
1907,0.024960039368090162
1908,0.025562707855837016
1909,0.028713468695484676
1910,0.02532475539826009
1911,0.02479265746234372
1912,0.026698190530172947
1913,0.028128905278017334
1914,0.026127382744823922
1915,0.02442630790851298
1916,0.024539437083681004
1917,0.024530784593382402
1918,0.020681810928339164
1919,0.02190680250540011
1920,0.020833783740719033
1921,0.023127954002752815
1922,0.02642582547376882
1923,0.02571230039159328
1924,0.024815427983541413
1925,0.0262061138086212
1926,0.02598871538438653
1927,0.025843115324879328
1928,0.025563938098509563
1929,0.026909753012147774
1930,0.028910392332376557
1931,0.029253584989676364
1932,0.02847176395549032
1933,0.028782002744177297
1934,0.027729770263969698
1935,0.02697854723350467
1936,0.027149685878911162
1937,0.026873582368900063
1938,0.02533078139499502
1939,0.0256236007853268
1940,0.024355509859809384
1941,0.02430660343619054
1942,0.02263825512221206
1943,0.021557038941943933
1944,0.02245692402439387
1945,0.024197811188696454
1946,0.030114484885958692
1947,0.02853269073680874
1948,0.02798988299023117
1949,0.030665589092204935
1950,0.026011592673176927
1951,0.025684272741136376
1952,0.024587057554013546
1953,0.025335294764963164
1954,0.02741067699592381
1955,0.025966234875823217
1956,0.028205438275459224
1957,0.02752083464110318
1958,0.029785110565548497
1959,0.030333764472619876
1960,0.029998520746958704
1961,0.031045299704644428
1962,0.02934320186142334
1963,0.028649150771338533
1964,0.03107037615137241
1965,0.029521450962023098
1966,0.02697175599642004
1967,0.027005802920090177
1968,0.02702542916361275
1969,0.02640871564992855
1970,0.026048213469153
1971,0.027946490196775645
1972,0.02758955859895268
1973,0.028793541623314725
1974,0.0245865245929886
1975,0.02546323714966648
1976,0.02402635686338634
1977,0.025581631532919338
1978,0.02499206595818992
1979,0.02705345352540086
1980,0.025268947283122133
1981,0.023616452572620586
1982,0.029900964110052743
1983,0.02958218079432964
1984,0.02918776802119617
1985,0.029895143226090114
1986,0.031978891896851915
1987,0.03187733812201098
1988,0.03128074530771465
1989,0.032089978880429554
1990,0.02565313998087274
1991,0.025159665796581854
1992,0.024849745626336975
1993,0.024843680174084597
1994,0.027192429364605163
1995,0.02773516525300369
1996,0.028580805737859694
1997,0.028970618150613484
1998,0.028234943053142027
1999,0.027581023611397228
2000,0.026574161430405228
2001,0.025522717080952783
2002,0.026913949134121606
2003,0.02704487552012508
2004,0.025990495071240998
2005,0.029421433130311262
2006,0.02562296215147749
2007,0.028075247005765327
2008,0.025402496185748264
2009,0.02527794659555516
2010,0.028834700982969627
2011,0.027885743497865493
2012,0.026165031137072005
2013,0.02752980922589817
2014,0.025207586599281972
2015,0.025383050222701476
2016,0.02664350503653948
2017,0.026172957589707738
2018,0.031124014503601163
2019,0.03213689986046483
2020,0.027858847858603594
2021,0.027763196900206552
2022,0.0212320566234577
2023,0.021490498438796437
2024,0.02164038312285745
2025,0.020779672733349124
2026,0.022747540673713852
2027,0.02404893665115731
2028,0.021645791853943646
2029,0.02227423477193465
